time,state,players
284.539,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
284.643,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
284.743,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
284.843,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
284.946,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.050,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.153,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.255,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.356,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.457,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.559,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.659,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.760,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.861,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
285.963,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.064,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.164,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.265,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.368,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.472,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.576,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.679,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.779,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.883,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
286.987,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
287.089,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
287.194,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
287.294,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
287.397,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
287.496,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
287.599,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
287.703,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
287.806,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
287.910,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.013,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.113,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.218,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.320,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.423,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.527,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.630,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.731,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.835,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
288.938,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
289.043,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
289.146,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
289.247,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
